County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k,log1p_rate_per_100k
San Diego,2017-09,0.1816666666666666,67.42260536398467,3.922222222222222,2822.2000000000003,0.0,75.63833333333334,59.0,23.0,3832.96,2561.0171,8709.8118,1.0324662034334968,0.7092499342245803
San Diego,2017-10,0.0466666666666666,60.552039744336746,3.503763440860215,2608.0,0.0,69.05494623655915,66.0,29.0,159.09,2144.6725,5575.4099,0.9413662443070118,0.6633919748506134
San Diego,2017-11,0.0483333333333333,65.38322538466217,3.102738095238095,2204.8,0.0,63.750277777777775,63.0,22.0,81.15,1888.955,5248.4518,1.3361327338551134,0.8484968843513493
San Diego,2017-12,0.095,44.52279825908858,3.433294930875576,2503.25,0.0,55.487999231950845,73.0,29.0,264.42,1294.1646,2950.5248,1.4272326929815984,0.8867517989436331
San Diego,2018-01,1.6733333333333336,59.281318749227545,3.5241935483870965,2623.083333333333,0.1666666666666666,56.55860215053764,64.0,25.5,13.47,1933.9951,4453.1256,1.0899261756670349,0.7371287427055085
San Diego,2018-02,0.5266666666666667,55.6741622574956,4.0184523809523816,2698.3,0.1666666666666666,56.89969135802469,58.0,23.5,115.13,2485.4022,5158.8456,0.6357902691391036,0.4921260326148368
San Diego,2018-03,1.0116666666666667,64.49402628434886,3.913361210673038,2837.4,0.0,59.9715850258861,50.0,13.0,12.49,2234.6622,6661.734,0.8174446317502762,0.5974314660001678
San Diego,2018-04,0.1033333333333333,63.990038314176246,4.236111111111112,3047.2166666666667,0.0,65.70879310344827,63.5,20.5,163.39,1616.9914,4977.0516,0.5752388149353795,0.4544068893135524
San Diego,2018-05,0.1283333333333333,69.22043010752688,4.195161290322581,3121.866666666667,0.0,68.24301075268816,54.0,21.0,1413.76,1468.3487,15215.5582,0.6660659962409657,0.5104651565500689
San Diego,2018-06,0.0699999999999999,68.17567049808429,4.042777777777778,2912.4166666666665,0.0,72.71222222222222,63.0,31.0,260.68,2115.5976,15661.9406,0.393584452324207,0.3318791705700893
San Diego,2018-07,0.2216666666666666,68.77435245510885,3.737749615975422,2544.1666666666665,0.0,77.59877112135176,61.0,23.0,493.02,2240.5103,7011.3082,0.6055145420372415,0.473444292144058
San Diego,2018-08,0.0816666666666666,68.59964157706094,3.5396505376344085,2544.9333333333334,0.0,79.46299283154121,64.0,28.0,166.21,2653.168,7837.6204,0.8174446317502762,0.5974314660001678
San Diego,2018-09,0.0233333333333333,70.28888888888889,3.277847222222222,2110.733333333333,0.0,75.28402777777778,66.0,29.5,83.97,3522.5362,7513.9,0.8174446317502762,0.5974314660001678
San Diego,2018-10,0.4633333333333334,64.68637717121588,3.2197990074441685,2228.583333333333,0.0,69.81904218362284,58.0,21.0,11.44,3244.5634,6443.8061,0.7568931775465519,0.5635470091475403
San Diego,2018-11,0.94,56.2135632183908,3.257816091954023,1494.65,0.3333333333333333,61.89232183908045,64.5,27.0,120.89,1893.8769,3768.1426,0.6963417233428278,0.5284740048938303
San Diego,2018-12,1.825,68.63870967741936,2.8316129032258064,1754.5833333333333,0.0,56.22516129032258,66.0,21.5,6.21,1728.8703,4577.5369,0.4844116336297933,0.3950184874343012
San Diego,2019-01,3.248333333333333,65.5815053763441,3.0812903225806454,1911.4,0.0,53.78967741935484,58.0,17.0,12.67,1943.5904,4974.3609,1.243412189927876,0.8079980058987543
San Diego,2019-02,3.3216666666666668,69.34814814814816,3.49,1954.15,0.0,53.59571428571428,51.5,11.0,5.33,2518.1726,4028.6756,0.909813797508202,0.6470057490906526
San Diego,2019-03,1.745,68.2,3.281290322580645,2032.6500000000003,0.0,59.68387096774194,52.0,18.0,616.9399999999999,2195.3155,6066.6743,0.909813797508202,0.6470057490906526
San Diego,2019-04,0.6633333333333333,65.64666666666668,3.351999999999999,2014.3166666666664,0.0,66.096,63.5,21.0,89.47,1891.9173,8244.1289,0.7885052911737751,0.5813802381547035
