Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
2006-12,0.485,54.907610087045576,4.015223374295955,2667.1666666666665,0.6666666666666666,52.23735919098822,69.0,19.0,4.24,351.0429,189.4328,0.1540364481043504
2007-01,0.2283333333333333,52.879838709677415,4.5784946236559145,3002.2000000000003,1.3333333333333333,50.0513082437276,70.0,28.0,112.8,268.1299,106.307,0.1958690394860644
2007-02,0.7633333333333333,63.94047619047618,4.785119047619047,2695.566666666667,1.6666666666666667,54.19345238095238,60.5,14.0,5.2,601.5265,343.2196,0.1855601426710083
2007-03,0.0483333333333333,54.446236559139784,4.519354838709678,3362.5333333333333,1.0,58.81989247311828,67.0,43.0,4.3999999999999995,355.0764,642.1499,0.1855601426710083
2007-04,0.4566666666666667,62.29444444444445,5.110555555555556,3679.116666666667,2.0,62.05833333333334,63.0,50.0,14.8,1076.1186,692.7403,0.1546334522258403
2007-05,0.0716666666666666,61.67180299539171,5.188709677419355,3860.066666666667,1.8333333333333333,67.44408602150537,69.0,44.0,9.75,2018.1623,947.7483,0.1649423490408963
2007-06,0.0,58.958045977011494,5.218333333333334,3757.35,1.8333333333333333,71.44944444444444,66.0,30.0,25.25,382.534,892.6198,0.1340156585957282
2007-07,0.0,58.573414905450505,5.170967741935484,3848.183333333333,2.0,75.56612903225806,65.0,25.0,487.8,796.396,595.7512,0.1237067617806722
2007-08,0.5583333333333333,56.23118279569892,4.693010752688172,3493.3999999999996,1.3333333333333333,75.11602564102564,66.0,25.5,15.1,607.9586,232.7344,0.1133978649656162
2007-09,0.5399999999999999,58.65,4.516666666666667,3252.216666666667,0.6666666666666666,72.55935413245759,59.0,20.5,77.45,596.5765,175.7336,0.0824711745204481
2007-10,0.2866666666666667,54.17741935483871,4.514516129032258,3358.7000000000003,1.8333333333333333,63.72096774193548,64.0,25.0,341.6,437.2338,155.5325,0.1133978649656162
2007-11,0.6416666666666667,59.855555555555554,3.651111111111111,2633.3333333333335,0.3333333333333333,59.67055555555555,98.5,28.0,0.2,476.99,151.2885,0.1443245554107843
2007-12,1.26,58.112903225806456,4.506989247311828,3353.7666666666664,1.5,51.63420467185762,64.0,16.0,0.0,596.3507,436.3661,0.1752512458559523
2008-01,6.145,63.365591397849464,4.747849462365592,3533.316666666667,2.0,50.63817204301075,64.0,27.0,1.25,232.6409,104.555,0.1540808782856591
2008-02,1.0516666666666667,63.26354679802955,4.521264367816092,3147.616666666667,2.0,52.68390804597701,69.0,30.0,1.15,333.7383,220.9336,0.2259852881523001
2008-03,0.1083333333333333,54.392473118279575,4.852688172043011,3611.7833333333338,2.1666666666666665,57.186021505376345,69.0,33.0,1.0,454.7342,310.9813,0.2568014638094319
2008-04,0.0316666666666666,53.93888888888889,4.999444444444444,3599.2333333333336,2.0,61.57388888888889,70.5,41.0,8.41,795.5424,469.7579,0.1232647026285273
2008-05,0.5533333333333333,61.602002224694104,5.101612903225806,3795.3,1.8333333333333333,65.76881720430107,72.0,42.0,9.62,1234.8847,499.6155,0.1335367611809046
2008-06,0.0233333333333333,57.47387057387058,4.842777777777777,3485.7333333333336,0.8333333333333334,71.33222222222223,85.5,52.0,23.96,2619.9411,417.1048,0.2054411710475455
2008-07,0.0,61.61827956989248,4.705376344086021,3500.0833333333335,0.8333333333333334,75.18333333333334,91.0,46.0,23.12,3369.1898,943.7131,0.2362573467046774
2008-08,0.0016666666666666,61.56989247311827,4.490860215053764,3340.433333333333,0.6666666666666666,75.15645161290323,68.0,43.0,5.46,2770.1325,409.2792,0.2465294052570546
2008-09,0.0283333333333333,61.0,3.862222222222222,2781.0833333333335,0.0,72.51388888888889,71.0,45.5,200.13,559.4968,218.7231,0.2465294052570546
2008-10,0.0333333333333333,44.892473118279575,4.2424731182795705,3155.15,1.1666666666666667,65.16935483870968,65.0,49.0,445.5,295.6117,83.8086,0.1746249953904137
2008-11,1.24,57.87222222222223,3.942222222222222,2840.133333333333,0.8333333333333334,59.98833333333334,71.5,42.0,7.4,319.4995,268.3996,0.2157132295999228
2008-12,1.5133333333333334,63.867831541218635,4.016129032258065,2986.6,1.3333333333333333,53.060779569892475,63.0,33.0,1.0,353.4262,112.4158,0.2670735223618092
2009-01,0.2083333333333333,49.364849833147936,4.015591397849462,2987.65,1.0,52.05483870967741,64.0,40.0,1.0,9.4045,0.0,0.2043443611173549
2009-02,3.1183333333333336,64.37896825396825,4.192261904761905,2816.6,0.3333333333333333,52.216895943562605,60.5,28.5,0.0,176.5156,98.6821,0.1123893986145452
2009-03,1.135,61.51612903225807,4.536559139784946,3374.966666666667,1.1666666666666667,57.90997849462366,66.0,39.0,0.1,356.0832,165.3067,0.2145615791732227
2009-04,0.1033333333333333,55.50555555555555,5.247777777777778,3778.2166666666662,2.1666666666666665,60.562222222222225,65.5,43.5,5.2,709.5621,105.6795,0.1634754888938839
2009-05,0.11,62.72043010752689,5.008064516129032,3728.066666666667,1.6666666666666667,67.96182795698924,85.0,44.0,83.14999999999999,961.4235,431.5079,0.1634754888938839
2009-06,0.04,66.90555555555555,5.036111111111111,3624.2166666666662,2.3333333333333335,68.94611111111111,67.5,36.0,51.02,3721.6853,6754.1869,0.1226066166704129
2009-07,0.0,56.26881720430108,4.667204301075269,3472.7166666666667,0.5,74.53728878648234,77.0,44.0,17.27,2249.1719,27510.9542,0.1430410527821485
2009-08,0.0,54.82693733778272,4.305376344086022,3201.816666666667,0.3333333333333333,72.94544802867382,84.0,42.0,2024.22,1338.352,22885.8975,0.1839099250056194
2009-09,0.0116666666666666,55.92222222222222,4.116666666666666,2960.633333333333,0.6666666666666666,72.06611111111111,82.0,45.5,376.91,353.4085,5612.59,0.1226066166704129
