County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
Kern,2021-09,0.0025,34.69166666666666,3.77,2713.8,0.0,79.31529411764706,79.5,67.0,77.28,9946.8562,56174.7535,26.236013889654412
Kern,2021-10,0.77,46.266129032258064,4.075,3031.3250000000003,1.0,71.0516129032258,65.0,58.0,14.35,12509.456,18467.8386,27.558838119384884
Kern,2021-11,0.04,63.733333333333334,3.0516666666666667,2197.85,0.25,60.17476190476191,100.5,44.5,0.97,14403.2838,6875.7152,25.90530783222179
Kern,2021-12,1.9925,75.29032258064515,3.775,2805.5,1.0,52.63655913978494,80.0,28.0,0.0,4934.0381,2454.5348,24.03130684010362
Kern,2022-01,0.045,69.54032258064515,3.2701612903225805,2432.9,0.75,50.82043010752688,96.0,44.0,24.0,24332.6409,10663.7651,21.084628427350275
Kern,2022-02,0.155,45.66964285714286,4.174107142857143,2800.15,0.75,52.64285714285714,69.0,45.5,4301.0,10812.018,7616.9282,20.974812654291163
Kern,2022-03,0.91,46.20967741935484,4.631451612903225,3441.575,1.0,60.00430107526881,55.0,35.0,381.0,56452.1905,37853.8444,16.911629051103866
Kern,2022-04,0.225,39.925,5.198333333333333,3745.25,1.25,67.3,55.5,35.5,185.0,119062.9746,71675.4541,21.194444200409393
Kern,2022-05,0.0,33.14516129032258,5.317741935483871,3957.2,1.0,73.85591397849463,53.0,51.0,779.0,134003.672,89037.7724,25.037996257478454
Kern,2022-06,0.0475,31.558333333333337,4.914166666666667,3537.05,1.0,78.67444444444443,52.5,44.5,1234.0,106689.8485,71871.9507,23.061312342414368
Kern,2022-07,0.0025,31.163709677419355,4.463709677419355,3321.275,0.25,81.26881720430107,53.0,45.0,497.0,52915.6037,63856.3239,19.766839150640884
Kern,2022-08,0.0125,32.693548387096776,4.073387096774193,3029.375,0.0,84.3959677419355,57.0,57.0,5817.0,13875.6141,17969.663,21.85333883876409
Kern,2022-09,0.5175000000000001,39.41091954022989,3.515833333333333,2533.3,0.0,80.53,65.0,60.0,55089.0,12477.528,21459.7661,27.014680172542544
Kern,2022-10,0.34,42.33064516129032,2.967741935483871,2210.9,0.0,70.83790322580646,66.0,69.0,77094.0,18097.1818,12600.6727,20.425733788995583
Kern,2022-11,0.6425000000000001,56.83333333333333,3.0716666666666668,2211.125,0.0,56.659166666666664,96.0,52.5,40.0,9722.1932,7008.6749,25.037996257478454
Kern,2022-12,1.8525,78.4274193548387,3.1750000000000003,2361.175,0.0,50.83951612903226,75.0,31.0,10.0,4644.5654,400.7011,22.29260193100055
Kern,2023-01,2.11,73.04838709677419,3.8233870967741934,2844.8,0.0,50.545967741935485,58.0,19.0,19.0,26665.099,2639.231,24.79691328023488
